Emoción,Frecuencia,RoBERTa_Acc,DistilBERT_Acc,FLAN-T5_Acc,Mejor_Modelo,Avg_Accuracy
anger,168,0.07738095238095238,0.20238095238095238,0.017857142857142856,DistilBERT,0.0992063492063492
disgust,33,0.0,0.0,0.0,RoBERTa,0.0
fear,21,0.0,0.0,0.0,RoBERTa,0.0
joy,354,0.3107344632768362,0.211864406779661,0.00847457627118644,RoBERTa,0.17702448210922786
others,814,0.5503685503685504,0.5945945945945946,0.9643734643734644,FLAN-T5,0.7031122031122031
sadness,199,0.1407035175879397,0.1407035175879397,0.010050251256281407,RoBERTa,0.09715242881072027
surprise,67,0.0,0.014925373134328358,0.0,DistilBERT,0.004975124378109453
